2455448.0,42,17,39,29,28,,,10,21,,,30,36,12,,46,19,27,,40,41,,45,,15,31,44,3,5,7,32,6,11,33,37,16,23,14,13,38,24,22,
2455307.0,26,25,,29,28,,,10,21,,,30,20,12,,46,19,27,,40,41,,45,43,15,42,34,35,5,7,32,6,11,33,37,16,23,14,13,38,24,22,
2455123.0,26,25,,29,28,31,9,10,21,,44,30,20,12,39,,19,27,,40,41,36,,43,,42,34,35,,7,32,,11,33,37,16,23,14,13,,24,22,3
2455097.0,,25,,29,28,31,9,10,21,,44,30,20,12,39,,19,27,,40,41,36,8,43,,42,,,,7,32,38,11,33,37,16,23,14,13,6,24,22,3
2455062.0,,25,,29,28,31,9,,21,,44,30,20,12,39,,19,27,,40,41,36,8,43,,42,35,45,15,7,32,38,11,33,,,23,14,13,6,24,22,3
2454932.0,,25,,29,28,31,9,,21,,44,30,20,12,39,,19,27,,40,41,36,8,43,,42,35,45,15,7,32,38,11,33,,,23,14,,6,,22,
2454848.0,,25,34,29,28,31,9,,21,,,30,20,12,39,5,19,27,16,,,36,8,43,10,42,35,45,15,,,38,11,33,,,23,14,,6,37,22,18
2454771.0,,25,34,29,28,31,9,13,,24,32,30,20,12,39,5,,27,16,,3,36,8,43,10,,35,45,15,,,38,,33,17,7,,14,,6,37,22,18
2454713.0,,,34,29,28,31,9,13,40,24,32,,,,39,5,41,27,16,,3,36,8,43,10,,35,45,15,46,42,38,,,17,7,21,,23,6,37,22,18
2454700.0,,30,34,,,,9,13,40,24,32,14,25,12,39,,41,,16,33,3,36,8,43,10,,35,45,15,46,42,38,,,17,7,21,,23,6,37,20,18
2454650.0,,30,34,,,,9,13,40,24,32,14,25,12,39,,41,,16,33,3,36,8,43,10,,35,45,15,46,42,38,,,17,7,21,,23,6,20,37,18
2454602.0,,30,34,31,27,29,9,13,40,24,32,14,25,12,39,37,41,5,16,33,3,36,8,,10,,35,45,15,46,42,38,,,17,,,43,23,6,7,21,
2454594.0,,30,34,31,27,29,9,13,40,24,32,14,25,,39,37,41,5,,33,,,8,10,12,,16,3,36,46,42,38,35,,17,45,15,43,23,6,7,21,
